id,Tap_simon_congruent,betw cen e-icoh delta_POz,betw cen e-plv delta_C3,betw cen e-wpli gamma_P7,betw cen s-lps alpha_LInferiorTemporalGyrus,clust coef e-icoh theta_O1,clust coef e-plv alpha_AF8,clust coef e-plv delta_F2,clust coef e-plv theta_Fp1,dfa exponent theta_CP1,kurtosis ampl alpha_F1,microstate A_Group1_Map1_SegDensity,mod index delta-alpha_F3,node str e-icoh theta_C5,node str e-plv alpha_AF8,node str e-plv delta_F2,node str e-plv theta_Fp1,node str e-wpli alpha_AF8,node str e-wpli theta_CP3
sub-010200,348.0,6,4,0,0,0.0626881502782135,0.253804948543058,0.178799078328036,0.194261163764323,0.719985726198775,2.39498532910862,0.6746,0.0024923011345828,4.11739459306204,15.7647643441263,12.637188838649,13.9222856650059,3.71814099167127,1.28465873093589
sub-010201,359.0,12,6,8,0,0.0641218645207156,0.174406135469206,0.181492874521982,0.143927716228399,0.572021028696227,2.97560614052692,2.2786,0.0042645052168887,4.10557498380664,11.8446230704729,12.0995438917779,9.390463786501,1.59317930404248,0.766218740249526
sub-010202,466.6666667,22,0,60,8,0.0504909024353057,0.192256896410003,0.196362565986037,0.189366847026599,0.478718772966889,2.98330366869899,1.3505,0.0042776757422205,3.46231568689245,12.7877154776114,13.882698622616,12.9553962650232,1.13217041076775,0.669932189403255
sub-010204,335.0,4,30,108,2,0.0662490077083864,0.204109202567971,0.205252715681309,0.141356437473275,0.619355989431965,3.41441519591866,1.329,0.0038335743874382,3.94626405597831,13.3628324901679,15.2853760160935,8.85704324033108,2.49297754627832,1.09260733667564
sub-010207,322.0,0,6,30,0,0.0577829732354919,0.169201813642754,0.202001831473864,0.15264832011667,0.669139413636524,3.00009734517454,1.7617,0.0035185053535786,3.56666876241461,11.3521300435094,14.8464372700659,9.7909737504873,1.06919046870354,0.585787761732281
sub-010210,415.0,10,4,18,4,0.0527302264363132,0.211745251558491,0.186318119441364,0.186361456805029,0.555528249739228,3.17698339688173,1.68,0.0030981568121578,3.41425164693639,13.3746362628406,13.2401331184323,13.4548231447697,5.37490360167703,0.763394419689884
sub-010213,410.3571429,18,88,38,0,0.0793374731790699,0.202889544927166,0.185325043319734,0.170556489066698,0.63790485453513,2.84287449975567,1.15,0.0037561072359315,4.14068749558611,13.2694855395898,13.6173142974095,11.7037011792716,1.73453521595646,1.32221127236796
sub-010214,372.0,12,54,28,0,0.0648028968922908,0.166029342811173,0.201675846523656,0.156182326794264,0.586915902671901,3.1062104469983,1.9417,0.0039653450542902,3.65390656048931,11.2339467717151,14.1761458951514,10.2944195195765,1.18192644636718,1.45302204768969
sub-010215,450.0,4,4,48,2,0.0630984545782834,0.180093861370925,0.183891548581777,0.137608368793326,0.585707790148909,3.36664704376422,1.9096,0.0057669217488386,3.75395170955478,12.0722231214708,12.775539826158,9.20359151177618,1.25257045084262,1.21834602048353
sub-010218,502.7586207,6,16,160,0,0.0979456252033062,0.270945777566164,0.190722189702783,0.174436184672519,0.718305436192435,2.8841030414898,1.25,0.0044643431080957,6.21701477164779,17.7876387893235,14.0018394486822,11.3336858705113,3.23791910609031,2.63534470318783
